source	target	notes
假仙	False Immortal	Approved Ch.1393; preserve reveal order before the Supreme Source Immortal explanation.
交贵人	Befriending the Noble	Explicit owner correction after Ch.1395, superseding Befriending Benefactors. Named Ancient Past path, roman; ordinary benefactors remain contextual.
积功德	Accumulating Merit	Approved Ch.1393 ten-Dao maxim; roman path name.
敬神	Revering the Gods	Approved Ch.1393 ten-Dao maxim; roman path name, expanded into three branches in Ch.1399.
养生	Nurturing Life	Approved Ch.1393 ten-Dao maxim; named path, not every ordinary reference to health or longevity.
风水	Feng Shui	Approved Ch.1393 ten-Dao maxim; named path. Ch.1399 describes secret-realm construction.
【读书】	Study	Approved Ancient Past path. Unbracketed ordinary reading is not automatically a named Dao.
命修道祖	Dao Ancestor of Fate	Approved Ch.1397; title of the Fate path founder in the narrated example. Later another Fate cultivator attains Dao Ancestor status.
命修	Fate cultivation	Approved Ch.1397: Fate cultivation for the path, Fate cultivator(s) for people. 命 in this named tradition is Fate, not a universal life-to-Fate replacement.
太源仙	Supreme Source Immortal	Approved Ch.1395; creation of the Doctrine of Names and Doctrine of Appearances. Preferred Tai Yitian as a name; do not identify him with the Primordial Saint as a proven fact.
太源	Supreme Source	Approved Ch.1395 cosmological term; 太源仙 uses the full Supreme Source Immortal name.
名仙人	Immortal of Names	Approved Ch.1395 description of the Supreme Source Immortal.
相仙人	Immortal of Appearances	Approved Ch.1395 description of the Supreme Source Immortal.
三炁	Three Qi	Approved Ch.1395. Named components: upper Beginning (始), middle Origin (元), lower Mystery (玄). These are scoped labels, not global single-character mappings.
九素	Nine Primordial Essences	Owner-approved after requested cross-reference following Ch.1395; replaces provisional Nine Primal Essences. Do not globally replace primal in unrelated names.
先天五太论	Theory of the Five Innate Supremes	Owner-approved after Ch.1395 terminology check. Roman theory name in the delivered discussion; external cosmology does not override the novel's stated sequence.
太初	Supreme Origin	Approved Ch.1395 cosmological stage; keep distinct from Primordial Saint and the Source Immortal.
太易	Supreme Change	Approved Ch.1395 cosmological stage. The complete personal name 太易天 remains Tai Yitian; never translate a substring of that name.
神州	Divine Land	Approved Ch.1397; one of the colliding regions. Distinct from Vast Sea and Sea of Light.
瀚海	Vast Sea	Approved Ch.1397; distinct from 光海 / Sea of Light.
七情参天决	Seven Emotions Heaven-Fathoming Art	Ch.1396 source variant of 七情参天诀, the same italic named work; not a new method.
鸠占鹊巢	Cuckoo Occupying the Magpie's Nest	Established roman Talent, canonical Ch.435 description in the Talent reference. Ch.1391 conceals identity and karma but needs Cultivating Truth to mask the Primordial Spirit.
知天命	Knowing Heaven's Mandate	Dao Register entry / Dao Ancestor designation in Ch.1401; owner approved before delivery. Proper title with this wording; do not mechanically replace its substring 天命 with the generic Mandate of Heaven rendering.
大运来	Great Luck Comes	Dao Register entry / Dao Ancestor designation. Owner correction after Ch.1401 delivery replaces the provisional Great Luck Arrives.
住旒仙	Tassel Immortal	Dao Register entry / Dao Ancestor designation. Owner correction after Ch.1401 delivery replaces the provisional pinyin Zhu Liuxian; do not infer a personal birth name.
至上名	Supreme Name	Dao Register entry; founder designation associated with the Doctrine of Names in Ch.1401. Owner approved before delivery; preserve distinction from the separate Supreme Source Immortal.
无我相	Selfless Appearance	Dao Register entry; founder designation associated with the Doctrine of Appearances in Ch.1401. Owner approved before delivery.
泥丸宫	Niwan Palace	Approved before Ch.1405 delivery for the Primordial Saint's upper spiritual center; normally takes his/the as appropriate.
【空】	Emptiness	Approved before Ch.1405 delivery for the World-Honored One's Buddhist insight; keep ordinary empty/emptiness contextual elsewhere.
无限法	Infinite Method	Named evolution of Lü Yang's Infinite Loop; owner approved the proposed name through Continue before Ch. 1406 delivery (decision 2026-09-24). Distinct from the Loop; roman inline title.
【无限】	Infinity	Lü Yang's transformed nature in Ch.1407-1408; owner Ch.1408 retains this noun twice. Capitalize for this named aspect, lowercase ordinary infinity.
一线生机	sliver of hope	owner-fixed wording 2026-09-16; adapt articles and grammar, never the core phrase; do not imply rescue or victory; silver is a typo; moved from phrase memory 2026-09-24 so the checker enforces it
删除	Delete|delete|deleted|deleting|deletion	named Order operation; standalone **【Delete】** display, inline forms ordinary per Reference_Formatting_Rules.md; parity with 修改 Modify (owner 2026-09-24). Approved manuscript Ch.1330-1331 uses Delete for the operation/key and ordinary inflected verbs in prose; verified for Ch.1348-1349.
【绝对真实】	Absolute Truth	Owner ruling 2026-09-25 (Ch.1412 revision): the nature carried by Jun's remembered Heaven Beyond the Heavens; capitalized named nature. Supersedes the provisional Absolute Reality and older lowercase absolute reality.
万法均平道尊	Dao Venerable Who Equalizes All Dharmas	Owner Ch.1413: Jun's honorific name, bold display in the Purple Firmament Palace. 万法 here is All Dharmas, not the Myriad Spells Dao Lord.
紫霄宫	Purple Firmament Palace	Owner-kept Ch.1413 rendering; Jun's palace in the Outer Heavens above the Divine Land. Bold display on its stele. Owner 2026-09-26: the article is situational (Ch.1420 final uses both).
运修	Luck cultivation	Owner-kept Ch.1414: 运修道祖 is the Dao Ancestor of Luck, matching 二运 Luck in the ten-Dao maxim and the Dao Ancestor of Fate pattern.
无限之环	Ring of Infinity	Owner-kept Ch.1414: the ring turning in Lü Yang's eyes; pairs the Infinity nature with the Ring concept. Roman.
名相二教	the Doctrines of Names and Appearances	Owner-kept Ch.1414: the two Dao Ancestors of the Doctrine of Names and the Doctrine of Appearances, referred to together.
归命	Returning Fate	Owner-kept Ch.1415: the second Dao Ancestor of Fate cultivation; Dao Ancestor Returning Fate, Senior Brother Returning Fate. Reborn as a baby in Ch.1415.
大道之种	Seed of the Great Dao	Owner-kept Ch.1415: the Divine Transformation opportunity; pairs with the Tree of the Great Dao (Ch.1413).
单求活	Dan Qiuhuo	Owner Ch.1419: pinyin name of the Dao Ancestor of Nurturing Life (Dan Qiuhuo, the Dao Ancestor of Nurturing Life); replaces provisional Life-Seeker Shan.
养仙地	Immortal-Nurturing Land	Owner-kept Ch.1419: Dan Qiuhuo's domain, a Grotto-Heaven; takes the.
